analyte,ossl_name_level0,ossl_abbrev_level0,ossl_method_level0,ossl_unit_level0,target_name,target_method,target_unit,ossl_level1_transform,ossl_name_level1,include
"Carbon, Total NCS",c.tot_usda.a622_w.pct,c.tot,usda.a622,w.pct,c.tot,usda.a622,w.pct,x,c.tot_usda.a622_w.pct,TRUE
"Calcium, Extractable, Aqua Regia",ca.ext_aquaregia_mg.kg,ca.ext,aquaregia,mg.kg,ca.ext,aquaregia,mg.kg,x,ca.ext_aquaregia_mg.kg,TRUE
"Calcium, Extractable, Mehlich3",ca.ext_usda.a1059_mg.kg,ca.ext,usda.a1059,mg.kg,ca.ext,usda.a1059,mg.kg,x,ca.ext_usda.a1059_mg.kg,TRUE
"Calcium, Extractable, NH4OAc",ca.ext_usda.a722_cmolc.kg,ca.ext,usda.a722,cmolc.kg,ca.ext,usda.a722,cmolc.kg,x,ca.ext_usda.a722_cmolc.kg,TRUE
"Carbonate, iso 10693",caco3_iso.10693_w.pct,caco3,iso.10693,w.pct,caco3,usda.a54,w.pct,x,caco3_usda.a54_w.pct,TRUE
"Carbonate, <2mm Fraction",caco3_usda.a54_w.pct,caco3,usda.a54,w.pct,caco3,usda.a54,w.pct,x,caco3_usda.a54_w.pct,TRUE
"CEC, pH 7.0, iso 11260",cec_iso.11260_cmolc.kg,cec,iso.11260,cmolc.kg,cec,usda.a723,cmolc.kg,x,cec_usda.a723_cmolc.kg,TRUE
"CEC, pH 7.0, NH4OAc, 2M KCl displacement",cec_usda.a723_cmolc.kg,cec,usda.a723,cmolc.kg,cec,usda.a723,cmolc.kg,x,cec_usda.a723_cmolc.kg,TRUE
"Coarse Fragments, iso 11464",cf_iso.11464_w.pct,cf,iso.11464,w.pct,cf,usda.c236,w.pct,x,cf_usda.c236_w.pct,TRUE
"Coarse Fragments, Greater 2mm",cf_usda.c236_w.pct,cf,usda.c236,w.pct,cf,usda.c236,w.pct,x,cf_usda.c236_w.pct,TRUE
"Clay, iso 11277",clay.tot_iso.11277_w.pct,clay.tot,iso.11277,w.pct,clay.tot,usda.a334,w.pct,x,clay.tot_usda.a334_w.pct,TRUE
